선명,역번호,역명,주소,전화번호,위도,경도
2호선,226,감전,부산광역시 사상구 사상로 지하 93-1,051-678-6226,,
2호선,227,사상,부산광역시 사상구 사상로 지하 203,051-678-6227,,
2호선,228,덕포,부산광역시 사상구 사상로 지하 320-1,051-678-6228,,
2호선,229,모덕,부산광역시 사상구 사상로 지하 409,051-678-6229,,
2호선,230,모라,부산광역시 사상구 사상로 지하 498,051-678-6230,,
2호선,231,구남,부산광역시 북구 백양대로 지하 1026,051-678-6231,,
2호선,232,구명,부산광역시 북구 백양대로 지하 1094,051-678-6232,,
2호선,233,덕천,부산광역시 북구 금곡대로 지하 14,051-678-6233,,
2호선,234,수정,부산광역시 북구 금곡대로 지하 160,051-678-6234,,
2호선,235,화명,부산광역시 북구 금곡대로 지하 311,051-678-6235,,
2호선,236,율리,부산광역시 북구 금곡대로 지하 440,051-678-6236,,
2호선,237,동원,부산광역시 북구 금곡대로 575,051-678-6237,,
2호선,238,금곡,부산광역시 북구 금곡대로 685,051-678-6238,,
2호선,239,호포,경상남도 양산시 동면 양산대로 62,051-678-6239,,
2호선,240,증산,경상남도 양산시 물금읍 메기로 168,051-678-6240,,
2호선,241,부산대양산캠퍼스,경상남도 양산시 물금읍 메기로 270,051-678-6241,,
2호선,242,남양산,경상남도 양산시 동면 메기로 380,051-678-6242,,
2호선,243,양산,경상남도 양산시 강변로 441,051-678-6243,,
3호선,301,수영,부산광역시 수영구 수영로 지하 677,051-678-6301,,
3호선,302,망미,부산광역시 수영구 연수로 지하 337,051-678-6302,,
3호선,303,배산,부산광역시 연제구 연수로 지하 229,051-678-6303,,
3호선,304,물만골,부산광역시 연제구 월드컵대로 지하 23,051-678-6304,,
3호선,305,연산,부산광역시 연제구 중앙대로 지하 1101,051-678-6305,,
3호선,306,거제,부산광역시 연제구 월드컵대로 지하 209,051-678-6306,,
3호선,307,종합운동장부산광역시 연제구 아시아드대로 지하 73,051-678-6307,,,
3호선,308,사직,부산광역시 동래구 아시아드대로 지하 153,051-678-6308,,
3호선,309,미남,부산광역시 동래구 아시아드대로 지하 232,051-678-6309,,
3호선,310,만덕,부산광역시 북구 만덕대로 지하 291,051-678-6310,,
3호선,311,남산정,부산광역시 북구 만덕대로 지하 179,051-678-6311,,
3호선,312,숙등,부산광역시 북구 만덕대로 지하 79,051-678-6312,,
3호선,313,덕천,부산광역시 북구 금곡대로 지하 14,051-678-6313,,
3호선,314,구포,부산광역시 북구 낙동대로 1697,051-678-6314,,
3호선,315,강서구청,부산광역시 강서구 낙동북로 485,051-678-6315,,
3호선,316,체육공원,부산광역시 강서구 낙동북로 371,051-678-6316,,
3호선,317,대저,부산광역시 강서구 낙동북로 295,051-678-6317,,
4호선,401,미남,부산광역시 동래구 아시아드대로 지하 232,051-678-6401,,
4호선,402,동래,부산광역시 동래구충렬대로 지하 147,051-678-6402,,
4호선,403,수안,부산광역시 동래구 충렬대로 지하 223,051-678-6403,,
4호선,404,낙민,부산광역시 동래구 충렬대로 지하 285,051-678-6404,,
4호선,405,충렬사,부산광역시 동래구 반송로 지하 205,051-678-6405,,
4호선,406,명장,부산광역시 동래구 반송로 지하 281,051-678-6406,,
4호선,407,서동,부산광역시 금정구 반송로 지하 387,051-678-6407,,
4호선,408,금사,부산광역시 금정구 반송로 지하 465,051-678-6408,,
4호선,409,반여농산물시장,부산광역시 해운대구 반송로 550,051-678-6409,,
4호선,410,석대,부산광역시 해운대구 석대천로 121,051-678-6410,,
4호선,411,영산대,부산광역시 해운대구 반송로 803,051-678-6411,,
4호선,412,윗반송,부산광역시 해운대구 반송로 917,051-678-6412,,
4호선,413,고촌,부산광역시 기장군 철마면 반송로 991,051-678-6413,,
4호선,414,안평,부산광역시 기장군 철마면 반송로 1101,051-678-6414,,
