선명,역번호,역명,주소,전화번호,위도,경도
1호선,125,동래,부산광역시 동래구 중앙대로 1324,051-678-6125,35.205618039108,129.078480143881
1호선,126,명륜,부산광역시 동래구 중앙대로 1414,051-678-6126,35.212575505365,129.079700449192
1호선,127,온천장,부산광역시 동래구 중앙대로 1520,051-678-6127,35.2202759023492,129.086397604201
1호선,128,부산대,부산광역시 금정구 장전온천천로 48,051-678-6128,35.2296168581211,129.089342280899
1호선,129,장전,부산광역시 금정구 장전온천천로 144,051-678-6129,35.2380895492619,129.088145804387
1호선,130,구서,부산광역시 금정구 금정로 233번길 46,051-678-6130,35.2472673132823,129.091293977961
1호선,131,두실,부산광역시 금정구 중앙대로 지하 1927-1,051-678-6131,,
1호선,132,남산,부산광역시 금정구 중앙대로 지하 2019-1,051-678-6132,,
1호선,133,범어사,부산광역시 금정구 중앙대로 지하 2107,051-678-6133,,
1호선,134,노포,부산광역시 금정구 중앙대로 2238,051-678-6134,35.2846866758906,129.095480074212
2호선,201,장산,부산광역시 해운대구 해운대로 지하 820,051-678-6201,35.1699301998375,129.176949540393
2호선,202,중동,부산광역시 해운대구 해운대로 지하 730,051-678-6202,35.1666522512391,129.168611487916
2호선,203,해운대,부산광역시 해운대구 해운대로 지하 626,051-678-6203,35.1636437945006,129.158873317353
2호선,204,동백,부산광역시 해운대구 해운대로 지하 522,051-678-6204,35.1610629346171,129.14868874994
2호선,205,벡스코,부산광역시 해운대구 해운대로 지하 396,051-678-6205,35.1688870173585,129.138876080584
2호선,206,센텀시티,부산광역시 해운대구 센텀남대로 지하 76,051-678-6206,35.1692784253147,129.13236458411
2호선,207,민락,부산광역시 수영구 수영로 지하 769,051-678-6207,35.1670658260717,129.122101093096
2호선,209,수영,부산광역시 수영구 수영로 지하 677,051-678-6208,35.1658917101376,129.114828522838
2호선,209,광안,부산광역시 수영구 수영로 지하 576,051-678-6209,35.1579209174973,129.113172707591
2호선,210,금련산,부산광역시 수영구 수영로 지하 482,051-678-6210,35.1497439256787,129.110957301775
2호선,211,남천,부산광역시 수영구 수영로 지하 410,051-678-6211,35.1421527230017,129.107970121975
2호선,212,경성대·부경대,부산광역시 남구 수영로 지하 324,051-678-6212,35.1375576616452,129.100441683595
2호선,213,대연,부산광역시 남구 수영로 지하 242,051-678-6213,35.1351177024593,129.092296703101
2호선,214,못골,부산광역시 남구 수영로 지하 170,051-678-6214,35.1347220937699,129.084843311728
2호선,215,지게골,부산광역시 남구 수영로 지하 70,051-678-6215,35.1356276790372,129.074233626935
2호선,216,문현,부산광역시 남구 전포대로 지하 17,051-678-6216,35.13915817492,129.067279721594
2호선,217,국제금융센터·부산은행,부산광역시 남구 전포대로 지하 97,051-678-6217,35.1457331120762,129.066743215179
2호선,218,전포,부산광역시 부산진구 전포대로 지하 181,051-678-6218,35.1528347392059,129.065363249745
2호선,219,서면,부산광역시 부산진구 중앙대로 지하 730,051-678-6219,35.157764059003,129.059035752371
2호선,220,부암,부산광역시 부산진구 가야대로 지하 719,051-678-6220,35.1574359013428,129.050428497747
2호선,221,가야,부산광역시 부산진구 가야대로 지하 650,051-678-6221,35.1558739907577,129.042819597165
2호선,222,동의대,부산광역시 부산진구 가야대로 지하 554,051-678-6222,35.1540395614292,129.032552773691
2호선,223,개금,부산광역시 부산진구 가야대로 지하 442,051-678-6223,35.1531942927238,129.020373573473
2호선,224,냉정,부산광역시 사상구 가야대로 지하 362-1,051-678-6224,35.1512676943839,129.012524113419
2호선,225,주례,부산광역시 사상구 가야대로 지하 292,051-678-6225,35.1505046520611,129.003137064668
2호선,226,감전,부산광역시 사상구 사상로 지하 93-1,051-678-6226,35.1555354610669,128.991267078925
2호선,227,사상,부산광역시 사상구 사상로 지하 203,051-678-6227,35.1624645755924,128.984636635373
2호선,228,덕포,부산광역시 사상구 사상로 지하 320-1,051-678-6228,35.1739522585751,128.983968484563
2호선,229,모덕,부산광역시 사상구 사상로 지하 409,051-678-6229,35.1803969032771,128.98556335249
2호선,230,모라,부산광역시 사상구 사상로 지하 498,051-678-6230,35.1896418913458,128.988608107569
2호선,231,구남,부산광역시 북구 백양대로 지하 1026,051-678-6231,35.1969200209729,128.994999341653
2호선,232,구명,부산광역시 북구 백양대로 지하 1094,051-678-6232,35.2027471033979,128.999502946075
2호선,233,덕천,부산광역시 북구 금곡대로 지하 14,051-678-6233,35.2109774599591,129.004972165013
2호선,234,수정,부산광역시 북구 금곡대로 지하 160,051-678-6234,35.2230835573286,129.009148601943
2호선,235,화명,부산광역시 북구 금곡대로 지하 311,051-678-6235,35.23580316112,129.013877205984
2호선,236,율리,부산광역시 북구 금곡대로 지하 440,051-678-6236,35.2471687881887,129.012917764141
2호선,237,동원,부산광역시 북구 금곡대로 575,051-678-6237,35.2586437992364,129.012396791222
2호선,238,금곡,부산광역시 북구 금곡대로 685,051-678-6238,35.2674731957506,129.016906409012
2호선,239,호포,경상남도 양산시 동면 양산대로 62,051-678-6239,35.2810793342617,129.017243861738
2호선,240,증산,경상남도 양산시 물금읍 메기로 168,051-678-6240,35.3082462596909,129.0102778791
2호선,241,부산대양산캠퍼스,경상남도 양산시 물금읍 메기로 270,051-678-6241,35.316884725995,129.013940950105
2호선,242,남양산,경상남도 양산시 동면 메기로 380,051-678-6242,,
2호선,243,양산,경상남도 양산시 강변로 441,051-678-6243,35.3387402352291,129.026459983234
3호선,301,수영,부산광역시 수영구 수영로 지하 677,051-678-6301,35.1658917101376,129.114828522838
3호선,302,망미,부산광역시 수영구 연수로 지하 337,051-678-6302,35.1714832685684,129.108466987369
3호선,303,배산,부산광역시 연제구 연수로 지하 229,051-678-6303,35.1734597519057,129.09572992884
3호선,304,물만골,부산광역시 연제구 월드컵대로 지하 23,051-678-6304,35.1767585696312,129.085607407773
3호선,305,연산,부산광역시 연제구 중앙대로 지하 1101,051-678-6305,35.1860724027287,129.081505014634
3호선,306,거제,부산광역시 연제구 월드컵대로 지하 209,051-678-6306,35.1885466882058,129.073960773744
3호선,307,종합운동장부산광역시 연제구 아시아드대로 지하 73,051-678-6307,,,
3호선,308,사직,부산광역시 동래구 아시아드대로 지하 153,051-678-6308,35.1989685416646,129.065058574788
3호선,309,미남,부산광역시 동래구 아시아드대로 지하 232,051-678-6309,35.2055969458619,129.068122269653
3호선,310,만덕,부산광역시 북구 만덕대로 지하 291,051-678-6310,35.2129568402206,129.036150805802
3호선,311,남산정,부산광역시 북구 만덕대로 지하 179,051-678-6311,35.2133300831394,129.024155946176
3호선,312,숙등,부산광역시 북구 만덕대로 지하 79,051-678-6312,35.2121463367969,129.013468826688
3호선,313,덕천,부산광역시 북구 금곡대로 지하 14,051-678-6313,35.2109774599591,129.004972165013
3호선,314,구포,부산광역시 북구 낙동대로 1697,051-678-6314,35.2066707011261,128.996412729158
3호선,315,강서구청,부산광역시 강서구 낙동북로 485,051-678-6315,35.2112192586654,128.981959188289
3호선,316,체육공원,부산광역시 강서구 낙동북로 371,051-678-6316,35.2125080419031,128.969459807101
3호선,317,대저,부산광역시 강서구 낙동북로 295,051-678-6317,35.2133613094375,128.961049641838
4호선,401,미남,부산광역시 동래구 아시아드대로 지하 232,051-678-6401,35.2055969458619,129.068122269653
4호선,402,동래,부산광역시 동래구충렬대로 지하 147,051-678-6402,35.2048073933041,129.077082014486
4호선,403,수안,부산광역시 동래구 충렬대로 지하 223,051-678-6403,35.2018368298853,129.083897697782
4호선,404,낙민,부산광역시 동래구 충렬대로 지하 285,051-678-6404,35.2002123131885,129.090775163695
4호선,405,충렬사,부산광역시 동래구 반송로 지하 205,051-678-6405,35.1996929219836,129.097539258279
4호선,406,명장,부산광역시 동래구 반송로 지하 281,051-678-6406,35.2051828360765,129.101735140476
4호선,407,서동,부산광역시 금정구 반송로 지하 387,051-678-6407,,
4호선,408,금사,부산광역시 금정구 반송로 지하 465,051-678-6408,,
4호선,409,반여농산물시장,부산광역시 해운대구 반송로 550,051-678-6409,35.2177593254883,129.12401666075
4호선,410,석대,부산광역시 해운대구 석대천로 121,051-678-6410,35.2181127800416,129.136827064424
4호선,411,영산대,부산광역시 해운대구 반송로 803,051-678-6411,35.2256086484524,129.146159216603
4호선,412,윗반송,부산광역시 해운대구 반송로 917,051-678-6412,35.2324239126014,129.153808006776
4호선,413,고촌,부산광역시 기장군 철마면 반송로 991,051-678-6413,35.2359709392736,129.160444908653
4호선,414,안평,부산광역시 기장군 철마면 반송로 1101,051-678-6414,35.2375139330931,129.172045993745
