철도운영기관명,선명,역명,도로명주소,전화번호,위도,경도,구군,동
대구교통공사,2호선,계명대,대구광역시 달서구 달구벌대로 지하1140,053-588-0990,35.8515042125557,128.491979054503,달서구,
대구교통공사,2호선,고산,대구광역시 수성구 달구벌대로 3080,053-791-0858,35.8426581661201,128.693815734234,수성구,
대구교통공사,2호선,내당,대구광역시 서구 달구벌대로 지하1827,053-656-6038,35.860177179062,128.564742731082,서구,
대구교통공사,2호선,다사,대구광역시 달성군 다사읍 다사역로 지하30,053-588-6680,35.864728706423,128.458543493313,달성군,다사읍
대구교통공사,2호선,담티(수성대·대륜),대구광역시 수성구 달구벌대로 지하 2672 ,053-752-0959,35.8548667832813,128.653680085609,수성구,
대구교통공사,2호선,대공원(삼성라이온즈파크),대구광역시 수성구 달구벌대호 지하2950,053-791-0881,,,수성구,
대구교통공사,2호선,대구은행(대구교육청),대구광역시 수성구 달구벌대로 지하2300,053-752-0206,35.8597395513227,128.614226857945,수성구,
대구교통공사,2호선,대실,대구광역시 달성군 다사읍 달구벌대로 지하 888,053-587-1933,35.8572766461263,128.465657834285,달성군,다사읍
대구교통공사,2호선,두류,대구광역시 달서구 달구벌대로 지하1760,053-628-3663,35.8575467229942,128.556606998098,달서구,
대구교통공사,2호선,만촌,대구광역시 수성구 달구벌대로 2584,053-751-0287,35.8585701559095,128.64537455905,수성구,
대구교통공사,2호선,문양,대구광역시 달성군 다사읍 문양역길 71,053-584-6826,35.8640792502072,128.437092441158,달성군,다사읍
대구교통공사,2호선,반고개,대구광역시 달서구 달구벌대로 지하1900,053-655-1196,35.862198717425,128.572554555685,달서구,
대구교통공사,2호선,반월당,대구광역시 중구 달구벌대로 지하2100,053-252-0689,35.8644213158621,128.593340834492,중구,
대구교통공사,2호선,범어,대구광역시 수성구 달구벌대로 지하 2396,053-756-9376,35.8590147461011,128.624455329435,수성구,
대구교통공사,2호선,사월,대구광역시 수성구 달구벌대로 지하 3290,053-795-0767,35.8367659042144,128.71536176521,수성구,
대구교통공사,2호선,성서산업단지,대구광역시 달서구 달구벌대로 지하 1280,053-582-6215,35.8517309819878,128.507251734729,달서구,
대구교통공사,2호선,수성구청(KBS),대구광역시 수성구 달구벌대로 지하 2500,053-756-7822,35.8587419533164,128.635950299762,수성구,
대구교통공사,2호선,신매,대구광역시 수성구 달구벌대로 지하 3180,053-791-0898,35.8407207598684,128.704365383725,수성구,
대구교통공사,2호선,연호,대구광역시 수성구 달구벌대로 지하 2870,053-791-0922,35.8464598738962,128.671839821118,수성구,
대구교통공사,2호선,영남대,경상북도 경산시 대학로 지하270(대동 영남대역),053-801-3785,35.8358301445178,128.752144604348,,대동
대구교통공사,2호선,용산(서부법원·검찰청입구),대구광역시 달서구 달구벌대로 지하1476,053-553-3598,35.8489652596373,128.528391512291,달서구,
대구교통공사,2호선,이곡,대구광역시 달서구 달구벌대로 지하 1357,053-582-6214,35.8506200255144,128.515768575199,달서구,
대구교통공사,2호선,임당,경상북도 경산시 대학로 170,053-811-0732,35.8340185705831,128.741387405802,,
대구교통공사,2호선,정평,경상북도 경산시 대학로 지하60,053-811-4753,35.8339812406558,128.729197526854,,
대구교통공사,2호선,죽전,대구광역시 달서구 달구벌대로 지하 1560,053-556-0292,35.850543243757,128.538390834452,달서구,
대구교통공사,2호선,청라언덕(신남),대구광역시 중구 달구벌대로 지하 2000,053-256-7728,35.8649080168924,128.582469146488,중구,
대구교통공사,3호선,건들바위,대구광역시 남구 명덕로 260(이천동),053-327-1670,35.8553538214208,128.599632942782,남구,이천동
대구교통공사,3호선,공단,대구광역시 서구 팔달로 28,053-327-1668,35.8918075221925,128.553658338665,서구,
대구교통공사,3호선,구암(과학대·보건대입구),대구광역시 북구 팔거천동로 1(구암동),053-327-1667,35.9256614163023,128.55032570799,북구,구암동
대구교통공사,3호선,남산(계명네거리),대구광역시 중구 남산로 2(남산동),053-327-1670,35.8566864460339,128.583444429252,중구,남산동
대구교통공사,3호선,달성공원,대구광역시 중구 달성로 116 (수창동),053-327-1669,35.8756494594572,128.582080902791,중구,수창동
대구교통공사,3호선,대봉교,대구광역시 남구 명덕로 330(이천동),053-327-1670,35.8549371407655,128.606196541565,남구,이천동
대구교통공사,3호선,동천,대구광역시 북구 팔거천동로 147(동천동),053-327-1667,35.9377067068866,128.556638741007,북구,동천동
대구교통공사,3호선,만평,대구광역시 북구 팔달로 105,053-327-1668,35.8898413887461,128.561073121915,북구,
대구교통공사,3호선,매천시장,대구광역시 북구 매천로18길 39,053-327-1668,35.9044306127524,128.545780614929,북구,
대구교통공사,3호선,매천,대구광역시 북구 학정로 6 매천역,053-327-1668,35.9127617245837,128.543375715345,북구,
대구교통공사,3호선,명덕(2.28민주운동기념회관),대구광역시 남구 명덕로 186(대명동),053-327-1670,35.8568886138782,128.590358222643,남구,대명동
대구교통공사,3호선,범물,대구광역시 수성구 지범로 194,053-327-1671,35.8208204890735,128.640127908265,수성구,
대구교통공사,3호선,북구청(DGB대구은행파크),대구광역시 서구 원대로 71 (원대동2가),053-327-1669,35.8839831049543,128.581365449371,서구,2가
대구교통공사,3호선,서문시장(동산병원),대구광역시 중구 달성로 50(동산동),053-327-1669,35.8697992183365,128.58223914522,중구,동산동
대구교통공사,3호선,수성구민운동장,대구광역시 수성구 동대구로 248(범어동),053-327-1670,35.8524415317807,128.625349732628,수성구,범어동
대구교통공사,3호선,수성못(TBC),대구광역시 수성구 동대구로 14(지산동),053-327-1671,35.8314189008567,128.623607482234,수성구,지산동
대구교통공사,3호선,수성시장,대구광역시 수성구 명덕로 420(수성동2가),053-327-1670,35.8542699562822,128.616018084679,수성구,2가
대구교통공사,3호선,어린이회관,대구광역시 수성구 동대구로 166,053-327-1670,35.8450828543927,128.624833412439,수성구,
대구교통공사,3호선,용지,대구광역시 수성구 범안로 83,053-327-1671,35.8183813370558,128.646877213182,수성구,
대구교통공사,3호선,원대,대구광역시 서구 팔달로 224-2 (원대동3가),053-327-1669,35.8877815857909,128.574392089167,서구,3가
대구교통공사,3호선,지산,대구광역시 수성구 지범로 100,053-327-1671,35.8251734402843,128.631935342217,수성구,
대구교통공사,3호선,청라언덕(신남),대구광역시 중구 남산로 80(남산동),053-327-1669,35.8641536632169,128.58236691022,중구,남산동
대구교통공사,3호선,칠곡경대병원,대구광역시 북구 팔거천동로 386(동호동),053-327-1667,35.9584367790745,128.559883085982,북구,동호동
대구교통공사,3호선,칠곡운암,대구광역시 북구 팔거천동로 79(구암동),053-327-1667,35.9314777013873,128.554550656999,북구,구암동
대구교통공사,3호선,태전,대구광역시 북구 칠곡중앙대로 262,053-327-1668,35.9196710627982,128.547393516476,북구,
대구교통공사,3호선,팔거(국립농관원·통계청),대구광역시 북구 팔거천동로 226(동천동),053-327-1667,35.9440795417482,128.558361857539,북구,동천동
대구교통공사,3호선,팔달시장,대구광역시 북구 팔달로 163-1 (노원동3가),053-327-1669,35.8888395203414,128.567891053718,북구,3가
대구교통공사,3호선,팔달,대구광역시 북구 매천로2길 43,053-327-1668,35.8978233001059,128.546720225349,북구,
대구교통공사,3호선,학정,대구광역시 북구 팔거천동로 310(학정동),053-327-1667,35.9515881374554,128.559190385855,북구,학정동
대구교통공사,3호선,황금,대구광역시 수성구 동대구로 100,053-327-1671,35.8391870732417,128.624297684882,수성구,
