은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,지점당인구수,클러스터,정책제안클러스터
21,iM뱅크(구 대구은행),대곡지점,대구광역시 달서구 도원동 도원로29,달서구,도원동,35.80715643,128.5360311,4.72,6.4,31661,7901,5.33,2,4.45,6,6.0
22,iM뱅크(구 대구은행),대구경북과학기술원점,대구광역시 달성군 현풍읍 테크노중앙대로333,달성군,현풍읍,35.70563776,128.4550107,1.34,1.0,21426,3969,3.56,2,3.27,3,
23,iM뱅크(구 대구은행),대구교육대점,대구광역시 남구 대명2동 중앙대로219,남구,대명2동,35.85143158,128.5877392,3.08,2.2,11635,2687,4.82,1,3.49,7,
24,iM뱅크(구 대구은행),대구국가산단지점,대구광역시 달성군 구지면 국가산단대로213,달성군,구지면,35.64842351,128.4171013,1.27,1.0,18938,2561,2.19,1,5.17,2,
25,iM뱅크(구 대구은행),대구국제공항출장소,대구광역시 동구 지저동 공항로221,동구,지저동,35.89910868,128.6392615,2.7,2.4,12760,4179,7.48,1,3.75,0,
26,iM뱅크(구 대구은행),대구도시개발공사점,대구광역시 북구 고성동3가 침산로73,북구,고성동,35.88317549,128.5893389,5.77,4.22,13043,1443,1.51,1,3.81,1,
27,iM뱅크(구 대구은행),대구시산격청사점,대구광역시 북구 산격동 연암로40,북구,산격4동,35.89202721,128.5984093,4.0,3.36,7202,2283,7.19,2,1.64,0,
28,iM뱅크(구 대구은행),대구혁신도시지점,대구광역시 동구 동내동 동내로88,동구,혁신동,35.87864132,128.7361276,1.22,1.0,16805,2165,2.01,8,1.29,3,
29,iM뱅크(구 대구은행),대덕지점,대구광역시 남구 대명동 대명로195,남구,대명1동,35.83994808,128.5787675,3.76,4.86,9476,2708,6.33,1,2.99,6,
30,iM뱅크(구 대구은행),대명동지점,대구광역시 남구 대명동 중앙대로147,남구,대명5동,35.84652354,128.5901812,2.65,4.37,7424,1545,4.19,3,1.38,7,
31,iM뱅크(구 대구은행),대봉브라보점,대구광역시 남구 이천동 명덕로308,남구,이천동,35.85492094,128.6037059,4.96,6.02,14349,3543,5.26,2,2.46,6,6.0
32,iM뱅크(구 대구은행),대신동지점,대구광역시 중구 대신동 국채보상로469,중구,대신동,35.87084657,128.5819624,3.27,7.36,7382,1671,4.7,4,1.23,4,
33,iM뱅크(구 대구은행),대현점,대구광역시 북구 대현동 대현남로6길20,북구,대현동,35.88042801,128.6085396,4.83,4.24,15719,4215,5.85,4,1.71,6,
34,iM뱅크(구 대구은행),덕산지점,대구광역시 중구 남산4동 남산로61,중구,남산4동,35.86206057,128.5821275,5.11,4.39,16180,3398,4.25,2,2.67,7,
35,iM뱅크(구 대구은행),동구청지점,대구광역시 동구 신암동 아양로207,동구,신암5동,35.88681058,128.6360751,5.64,6.56,7432,2144,6.41,1,2.52,6,6.0
36,iM뱅크(구 대구은행),동대구로점,대구광역시 수성구 범어동 동대구로382,수성구,범어2동,35.86453456,128.6274133,3.44,1.39,14124,2568,3.47,6,1.35,3,
37,iM뱅크(구 대구은행),동북로점,대구광역시 북구 복현2동 동북로287,북구,복현2동,35.8930081,128.6215488,4.63,3.85,29078,5179,3.37,1,7.51,2,
38,iM뱅크(구 대구은행),동산의료원출장소,대구광역시 중구 동산동 달성로56,중구,성내2동,35.87017964,128.5825231,3.28,7.6,8426,1319,2.77,3,1.45,4,
39,iM뱅크(구 대구은행),동서변지점,대구광역시 북구 서변동 호국로209,북구,서변동,35.9204633,128.5989796,3.41,3.14,33237,5973,3.41,1,8.24,2,
40,iM뱅크(구 대구은행),동성로지점,대구광역시 중구 덕산동 달구벌대로2105,중구,성내1동,35.86577266,128.5940347,2.95,7.22,5094,912,3.39,4,1.1,4,
41,iM뱅크(구 대구은행),만촌동지점,대구광역시 수성구 범어동 달구벌대로2503,수성구,범어2동,35.85925192,128.6365778,2.54,4.63,14124,2568,3.47,6,1.35,7,
42,iM뱅크(구 대구은행),만촌역지점,대구광역시 수성구 만촌동 달구벌대로2626,수성구,만촌3동,35.85666764,128.6496672,2.48,8.8,21282,2545,1.75,2,3.26,4,
43,iM뱅크(구 대구은행),메트로팔레스점,대구광역시 수성구 만촌동 동원로135,수성구,만촌1동,35.8691799,128.633469,3.26,2.41,20597,4732,4.79,3,2.39,7,
44,iM뱅크(구 대구은행),목련시장점,대구광역시 수성구 지산동 용학로206,수성구,지산2동,35.82144877,128.6308973,5.27,5.24,18475,4718,5.5,2,2.93,6,
45,iM뱅크(구 대구은행),반야월지점,대구광역시 동구 신서동 안심로401,동구,안심4동,35.86952467,128.7279048,3.96,7.56,26642,5255,3.89,3,2.85,4,
46,iM뱅크(구 대구은행),방촌지점,대구광역시 동구 방촌동 동촌로274,동구,방촌동,35.87955908,128.6695176,4.3,6.21,17041,5447,7.27,1,4.73,6,6.0
47,iM뱅크(구 대구은행),범물1동점,대구광역시 수성구 범물1동 지범로39길12,수성구,범물1동,35.82056739,128.6432063,8.3,8.73,9928,4159,10.0,2,1.95,5,
48,iM뱅크(구 대구은행),범어4동점,대구광역시 수성구 범어동 달구벌대로496길26,수성구,범어4동,35.85669889,128.6338649,2.89,4.09,18678,2097,1.55,2,2.96,7,
49,iM뱅크(구 대구은행),범어금융센터,대구광역시 수성구 범어동 달구벌대로2387,수성구,범어3동,35.85966253,128.6236586,4.32,4.62,17294,1956,1.58,3,2.13,7,
50,iM뱅크(구 대구은행),법원지점,대구광역시 수성구 범어동 동대구로364,수성구,범어2동,35.86229387,128.6289029,2.91,1.91,14124,2568,3.47,6,1.35,3,
51,iM뱅크(구 대구은행),복현지점,대구광역시 북구 산격3동 동북로174,북구,산격3동,35.89876955,128.6116674,7.0,6.04,8185,1896,4.84,1,2.69,1,
52,iM뱅크(구 대구은행),본리동지점,대구광역시 달서구 본동 구마로180,달서구,본동,35.83690314,128.5474129,5.52,5.67,11812,3068,5.62,2,2.17,6,
53,iM뱅크(구 대구은행),본점PB센터,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.2,5.98,10377,2099,4.03,5,1.28,1,
54,iM뱅크(구 대구은행),본점영업부,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.2,5.98,10377,2099,4.03,5,1.28,1,
55,iM뱅크(구 대구은행),봉덕동지점,대구광역시 남구 봉덕동 대봉로60,남구,봉덕1동,35.84403779,128.6042007,4.37,5.39,7906,2480,7.1,5,1.17,6,
56,iM뱅크(구 대구은행),북구청지점,대구광역시 북구 침산동 옥산로65,북구,침산3동,35.8856843,128.5827802,5.52,6.54,18019,3852,4.35,2,2.88,1,
57,iM뱅크(구 대구은행),북비산지점,대구광역시 서구 비산동 달서로183,서구,비산6동,35.87870316,128.570933,4.91,4.69,6522,2196,7.74,1,2.31,6,
58,iM뱅크(구 대구은행),북성로지점,대구광역시 중구 수창동 서성로81,중구,성내3동,35.87402224,128.5874167,3.01,6.4,13443,1402,1.33,1,3.9,4,
59,iM뱅크(구 대구은행),삼덕금융센터,대구광역시 중구 삼덕동2가 달구벌대로2195,중구,삼덕동,35.86344155,128.6034408,3.86,5.83,7352,959,2.05,2,1.65,4,
60,iM뱅크(구 대구은행),상수도사업본부출장소,대구광역시 남구 이천동 명덕로52길45,남구,이천동,35.85445554,128.5961119,4.31,4.74,14349,3543,5.26,2,2.46,6,
61,iM뱅크(구 대구은행),상인역지점,대구광역시 달서구 상인동 월곡로266,달서구,상인1동,35.81812556,128.5389861,5.19,6.31,32705,6628,4.04,5,2.31,1,
62,iM뱅크(구 대구은행),상인점,대구광역시 달서구 상인동 상인서로51,달서구,상인1동,35.81455592,128.5437622,6.08,4.46,32705,6628,4.04,5,2.31,1,
63,iM뱅크(구 대구은행),서구청출장소,대구광역시 서구 평리동 국채보상로257,서구,평리3동,35.87233875,128.5592792,4.67,4.28,12342,3058,5.29,1,3.65,6,
64,iM뱅크(구 대구은행),서대구지점,대구광역시 서구 평리동 서대구로78,서구,평리4동,35.86491706,128.5562578,4.85,1.77,15549,4081,5.69,4,1.7,0,
65,iM뱅크(구 대구은행),서부지원지점,대구광역시 달서구 용산동 장산남로30,달서구,용산1동,35.85306327,128.5275686,5.12,5.22,28582,4872,3.16,4,2.45,1,
66,iM뱅크(구 대구은행),서부차량등록출장소,대구광역시 달서구 이곡동 성서로400,달서구,이곡1동,35.85330369,128.5078615,4.45,7.37,20168,3479,3.21,3,2.35,4,
67,iM뱅크(구 대구은행),성당뉴타운지점,대구광역시 달서구 본리동 당산로39,달서구,본리동,35.8409457,128.5444515,5.05,5.94,22594,3536,2.77,2,3.41,1,
68,iM뱅크(구 대구은행),성당시장지점,대구광역시 남구 대명동 대경길7,남구,대명4동,35.84983789,128.5724,2.97,2.78,9402,3085,7.5,3,1.53,0,
69,iM뱅크(구 대구은행),성명지점,대구광역시 남구 대명동 대명로23,남구,대명10동,35.83854081,128.5600256,3.28,8.8,8096,2676,7.57,2,1.74,5,5.0
70,iM뱅크(구 대구은행),성북교점,대구광역시 북구 산격1동 연암로117,북구,산격1동,35.89502176,128.5942498,4.95,3.63,7669,3162,9.82,1,2.57,0,
71,iM뱅크(구 대구은행),성서3단지영업부,대구광역시 달서구 호산동 성서공단북로132,달서구,신당동,35.84413241,128.4872215,1.06,1.0,28366,5444,3.75,6,1.9,3,
72,iM뱅크(구 대구은행),성서공단영업부,대구광역시 달서구 월암동 성서공단로124,달서구,월성2동,35.83484068,128.4961746,1.0,1.0,13814,5124,8.68,3,1.87,0,
73,iM뱅크(구 대구은행),성서비즈니스센터영업부,대구광역시 달서구 갈산동 성서공단로217,달서구,이곡2동,35.8364554,128.506659,1.02,1.0,14451,3260,4.67,8,1.22,3,
74,iM뱅크(구 대구은행),성서영업부,대구광역시 달서구 이곡동 달구벌대로1276,달서구,이곡2동,35.85140957,128.5067461,3.37,6.05,14451,3260,4.67,8,1.22,4,
75,iM뱅크(구 대구은행),성서홈플러스출장소,대구광역시 달서구 용산동 달구벌대로1467,달서구,용산1동,35.84945361,128.5274058,4.14,7.23,28582,4872,3.16,4,2.45,4,
76,iM뱅크(구 대구은행),세천지점,대구광역시 달성군 다사읍 세천로3길7,달성군,다사읍,35.87156583,128.4684528,1.21,1.0,51889,7663,2.53,2,6.79,2,
77,iM뱅크(구 대구은행),수성구청지점,대구광역시 수성구 범어동 달구벌대로2450,수성구,범어1동,35.85820008,128.6306298,2.77,4.14,21354,2897,2.2,1,5.73,2,
78,iM뱅크(구 대구은행),시지지점,대구광역시 수성구 신매동 달구벌대로3196,수성구,고산1동,35.84013435,128.7061649,7.32,6.11,31453,5172,2.99,4,2.62,1,
79,iM뱅크(구 대구은행),시청영업부,대구광역시 중구 동인1가 공평로88,중구,동인동,35.87156652,128.601259,2.87,6.4,10616,2145,4.03,4,1.42,4,
80,iM뱅크(구 대구은행),신암동지점,대구광역시 동구 신암동 아양로2,동구,신암3동,35.88099411,128.6146225,5.08,5.42,11290,2192,3.81,2,2.11,1,
81,iM뱅크(구 대구은행),신월성지점,대구광역시 달서구 월성동 조암로5,달서구,월성1동,35.8255175,128.52913,5.56,3.5,39888,3677,1.0,1,10.0,2,
82,iM뱅크(구 대구은행),신천4동지점,대구광역시 동구 신천동 동부로30길23-1,동구,신천4동,35.87499558,128.6290632,2.83,6.33,10733,2182,4.06,1,3.28,4,
83,iM뱅크(구 대구은행),신천동지점,대구광역시 동구 신천동 송라로58,동구,신천3동,35.87253559,128.6190586,5.87,5.22,14243,2570,3.43,1,4.09,1,
84,iM뱅크(구 대구은행),신평지점,대구광역시 서구 평리동 국채보상로286,서구,평리4동,35.87147898,128.5620941,5.56,1.87,15549,4081,5.69,4,1.7,0,
85,iM뱅크(구 대구은행),안심지점,대구광역시 동구 서호동 안심로41길36,동구,안심4동,35.86936116,128.708641,5.75,4.04,26642,5255,3.89,3,2.85,1,
86,iM뱅크(구 대구은행),연경점,대구광역시 북구 연경동 동화천로241,북구,연경동,35.94264884,128.617379,2.18,3.94,33237,5973,3.41,1,8.24,2,
87,iM뱅크(구 대구은행),영대병원점,대구광역시 남구 대명동 현충로170,남구,대명5동,35.8476702,128.5842035,2.55,1.0,7424,1545,4.19,3,1.38,3,
88,iM뱅크(구 대구은행),옥포점,대구광역시 달성군 옥포읍 돌미상업로2길1,달성군,옥포읍,35.7823888,128.4424125,2.47,1.0,22776,5371,4.96,1,6.06,2,
89,iM뱅크(구 대구은행),용산동지점,대구광역시 달서구 용산동 용산로235,달서구,용산1동,35.85849113,128.5302712,5.44,1.51,28582,4872,3.16,4,2.45,7,
90,iM뱅크(구 대구은행),월배영업부,대구광역시 달서구 진천동 월배로109,달서구,진천동,35.81478782,128.5262545,5.97,4.84,49953,9711,3.82,5,3.11,1,
91,iM뱅크(구 대구은행),월성동지점,대구광역시 달서구 월성동 월성로30,달서구,월성2동,35.83157465,128.5323125,4.43,3.75,13814,5124,8.68,3,1.87,0,
92,iM뱅크(구 대구은행),월촌역지점,대구광역시 달서구 송현동 월배로322,달서구,송현1동,35.82412864,128.54632,4.16,4.33,16363,4756,6.47,2,2.69,6,
93,iM뱅크(구 대구은행),유통단지영업부,대구광역시 북구 산격동 유통단지로73,북구,산격2동,35.90795214,128.6102898,2.14,4.94,9645,2523,5.67,4,1.36,0,
94,iM뱅크(구 대구은행),이곡동지점,대구광역시 달서구 이곡동 계대동문로124,달서구,이곡2동,35.8550894,128.5059093,4.76,6.97,14451,3260,4.67,8,1.22,4,
95,iM뱅크(구 대구은행),이시아폴리스지점,대구광역시 동구 봉무동 팔공로227,동구,불로.봉무동,35.9190995,128.640295,1.79,1.51,19708,4051,4.12,2,3.08,3,
96,iM뱅크(구 대구은행),이현공단영업부,대구광역시 서구 중리동 국채보상로124,서구,상중이동,35.86851112,128.5447464,2.18,3.43,17434,4650,5.81,2,2.81,0,
97,iM뱅크(구 대구은행),장기점,대구광역시 달서구 장기동 장기로265,달서구,장기동,35.84334112,128.5312533,3.98,3.46,15540,3069,3.9,2,2.6,7,
98,iM뱅크(구 대구은행),제2본점영업부,대구광역시 북구 칠성동2가 옥산로111,북구,칠성동,35.88446945,128.5882828,6.58,4.15,22699,4235,3.6,3,2.55,1,
99,iM뱅크(구 대구은행),죽전지점,대구광역시 달서구 감삼동 달구벌대로1568,달서구,감삼동,35.8503054,128.5386674,3.65,3.51,30856,4806,2.75,3,3.18,7,
100,iM뱅크(구 대구은행),중구청지점,대구광역시 중구 동인동2가 국채보상로139길1,중구,동인동,35.86932566,128.6061577,3.49,2.94,10616,2145,4.03,4,1.42,7,
101,iM뱅크(구 대구은행),중동지점,대구광역시 수성구 중동 수성로248,수성구,중동,35.84750483,128.6132005,3.59,3.86,14508,2676,3.54,3,1.92,7,
102,iM뱅크(구 대구은행),지산지점,대구광역시 수성구 범물2동 지범로188,수성구,범물2동,35.82080178,128.6395179,7.84,6.78,15720,3607,4.78,1,4.43,1,
103,iM뱅크(구 대구은행),차량등록사업소출장소,대구광역시 수성구 만촌동 동원로84,수성구,만촌1동,35.86663132,128.6397507,2.7,3.24,20597,4732,4.79,3,2.39,7,
104,iM뱅크(구 대구은행),칠곡경북대병원점,대구광역시 북구 학정동 호국로807,북구,국우동,35.95605898,128.5652233,1.94,2.83,29744,3745,1.93,1,7.66,2,
105,iM뱅크(구 대구은행),칠곡지점,대구광역시 북구 관음동 칠곡중앙대로451,북구,관음동,35.93600349,128.5485632,8.53,3.08,14170,3627,5.51,1,4.07,1,
106,iM뱅크(구 대구은행),태전동지점,대구광역시 북구 태전동 칠곡중앙대로309,북구,태전1동,35.92335283,128.5464656,4.69,8.8,21312,4553,4.35,1,5.72,4,
107,iM뱅크(구 대구은행),테크노폴리스지점,대구광역시 달성군 유가읍 테크노상업로120,달성군,유가읍,35.69306331,128.4629008,4.93,2.42,31246,2910,1.03,2,4.41,2,
108,iM뱅크(구 대구은행),통일로점,대구광역시 북구 칠성2가 중앙대로507,북구,칠성동,35.87840139,128.5950097,4.4,7.55,22699,4235,3.6,3,2.55,4,
109,iM뱅크(구 대구은행),파동지점,대구광역시 수성구 상동 수성로5,수성구,상동,35.82598648,128.6098743,1.94,2.93,14198,4008,6.24,1,4.08,0,
110,iM뱅크(구 대구은행),파티마병원출장소,대구광역시 동구 신암동 아양로99,동구,신암4동,35.88384893,128.6229913,4.25,3.37,18373,3784,4.13,2,2.92,7,
111,iM뱅크(구 대구은행),팔달로지점,대구광역시 서구 비산동 팔달로72-1,서구,비산7동,35.88992938,128.558066,1.99,8.8,8379,2755,7.52,2,1.77,5,
112,iM뱅크(구 대구은행),팔달영업부,대구광역시 서구 비산동 팔달로126,서구,비산5동,35.88913523,128.5638313,2.57,8.57,4987,1926,9.1,1,1.95,5,
113,iM뱅크(구 대구은행),학정로지점,대구광역시 북구 구암동 학정로432,북구,구암동,35.94324063,128.5640732,5.5,6.4,31074,4860,2.77,4,2.6,1,
114,iM뱅크(구 대구은행),화원지점,대구광역시 달성군 화원읍 비슬로2597,달성군,화원읍,35.80473942,128.5005105,5.42,3.72,45973,10405,4.7,3,4.34,6,
115,iM뱅크(구 대구은행),황금네거리지점,대구광역시 수성구 황금2동 동대구로111,수성구,황금2동,35.84031842,128.6235801,3.33,3.58,11355,2433,4.36,1,3.42,7,
116,iM뱅크(구 대구은행),황금동지점,대구광역시 수성구 황금동 청수로235,수성구,황금1동,35.84144818,128.6334266,5.44,1.43,21494,3483,2.92,2,3.28,7,
117,iM뱅크(구 대구은행),효목동지점,대구광역시 동구 효목동 효목로13,동구,효목2동,35.87462388,128.6390695,2.74,4.42,14055,3756,5.82,3,1.89,0,
118,KB국민은행,KB국민은행 대구,대구 중구 중앙대로 401,중구,성내2동,35.86883673,128.5934025,2.36,10.0,8426,1319,2.77,3,1.45,4,
119,KB국민은행,KB국민은행 남산동,대구 중구 명륜로 69,중구,남산2동,35.86165158,128.5922656,3.94,8.78,7147,1230,3.2,2,1.63,4,
120,KB국민은행,KB국민은행 신암동,대구 동구 아양로 34,동구,신암3동,35.88163363,128.6179116,4.86,4.75,11290,2192,3.81,2,2.11,7,
121,KB국민은행,KB국민은행 대구혁신도시,대구 동구 이노밸리로 322 비젼스퀘어 101호,동구,혁신동,35.87724196,128.7321533,1.71,1.65,16805,2165,2.01,8,1.29,3,
122,KB국민은행,KB국민은행 대구이시아폴리스,대구 동구 팔공로 249,동구,불로.봉무동,35.92100865,128.6405313,1.98,1.77,19708,4051,4.12,2,3.08,3,
123,KB국민은행,KB국민은행 내당동종합금융센터,대구 서구 달구벌대로 1777,서구,내당1동,35.85885785,128.5592859,4.16,3.94,9351,2442,5.65,2,1.88,6,
124,KB국민은행,KB국민은행 평리동,대구 서구 서대구로 137,서구,평리4동,35.87009959,128.554565,3.49,3.78,15549,4081,5.69,4,1.7,0,
125,KB국민은행,KB국민은행 봉덕동,대구 남구 봉덕로 69,남구,봉덕1동,35.84511423,128.5986833,3.75,5.29,7906,2480,7.1,5,1.17,6,
126,KB국민은행,KB국민은행 동천동,대구 북구 학정로 419,북구,동천동,35.94211181,128.5630466,5.43,7.6,25204,3301,2.07,3,2.74,4,
127,KB국민은행,KB국민은행 침산동,대구 북구 침산남로 178,북구,침산2동,35.88724996,128.5949489,6.84,4.34,17970,2779,2.72,2,2.88,1,
128,KB국민은행,KB국민은행 대구유통단지종합금융센터,대구 북구 유통단지로13길 9,북구,산격2동,35.90821539,128.6091254,1.99,5.05,9645,2523,5.67,4,1.36,0,
129,KB국민은행,KB국민은행 대구3공단종합금융센터,대구 북구 노원로 137,북구,노원동,35.89766385,128.5756238,2.06,2.28,11171,3107,6.12,4,1.45,0,
130,KB국민은행,KB국민은행 범어동,대구 수성구 달구벌대로 2470 동신빌딩 1층,수성구,범어4동,35.85835811,128.6327552,2.58,4.93,18678,2097,1.55,2,2.96,7,
131,KB국민은행,KB국민은행 황금네거리,대구 수성구 동대구로 95 수성 SK 리더스뷰,수성구,두산동,35.83790579,128.6226467,2.95,3.31,14782,2511,3.14,2,2.51,7,
132,KB국민은행,KB국민은행 시지,대구 수성구 달구벌대로 3210,수성구,고산1동,35.83961413,128.7076619,8.19,5.22,31453,5172,2.99,4,2.62,1,
133,KB국민은행,KB국민은행 수성교,대구 수성구 달구벌대로 2296,수성구,수성1가동,35.8594617,128.6135916,7.39,5.73,17148,4021,4.92,2,2.78,1,
134,KB국민은행,KB국민은행 대구PB센터,대구 수성구 달구벌대로 2397 KB손해보험빌딩 14층,수성구,범어3동,35.85984433,128.6248624,3.98,3.95,17294,1956,1.58,3,2.13,7,
135,KB국민은행,KB국민은행 성서종합금융센터,대구 달서구 계대동문로 116,달서구,이곡2동,35.85510041,128.5052321,4.69,7.03,14451,3260,4.67,8,1.22,4,
136,KB국민은행,KB국민은행 상인역,대구 달서구 월배로 250,달서구,상인1동,35.81914931,128.54039,4.91,5.73,32705,6628,4.04,5,2.31,1,
137,KB국민은행,KB국민은행 진천역,대구 달서구 월배로 63,달서구,진천동,35.81392907,128.5214601,6.28,5.67,49953,9711,3.82,5,3.11,1,
138,KB국민은행,KB국민은행 대구용산,대구 달서구 용산로 141 그랜드M타워 1층,달서구,용산1동,35.85012928,128.5301263,4.41,6.91,28582,4872,3.16,4,2.45,4,
139,KB국민은행,KB국민은행 본리동종합금융센터,대구 달서구 당산로 40,달서구,본리동,35.8408611,128.5450316,5.07,5.94,22594,3536,2.77,2,3.41,1,
140,KB국민은행,KB골든라이프센터 대구,대구 달서구 계대동문로 116 성서종금 2층,달서구,이곡2동,35.85510041,128.5052321,4.69,7.03,14451,3260,4.67,8,1.22,4,
141,KB국민은행,KB국민은행 대구테크노폴리스,대구 달성군 유가읍 테크노상업로 100,달성군,유가읍,35.69323531,128.4605069,5.48,2.6,31246,2910,1.03,2,4.41,2,
142,KB국민은행,KB국민은행 화원,대구 달성군 화원읍 비슬로 2555,달성군,화원읍,35.80329827,128.4964629,4.89,5.31,45973,10405,4.7,3,4.34,6,
143,KB국민은행,KB국민은행 달성공단종합금융센터,대구 달성군 논공읍 논공중앙로32길 2,달성군,논공읍,35.7287703,128.4523643,2.47,1.98,4224,1380,7.46,5,1.0,0,
144,NH농협은행,구암지점,대구광역시 북구 구암동 대구광역시 북구 구암로 142,북구,구암동,35.93155591,128.5562345,6.89,6.7,31074,4860,2.77,4,2.6,1,
145,NH농협은행,군위군지부,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 중앙길 109,군위군,군위읍,36.23807094,128.5669743,2.99,1.82,7811,2791,8.3,2,1.71,0,0.0
146,NH농협은행,군위군청<출>,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 군청로 200,군위군,군위읍,36.24303011,128.5729675,1.43,1.0,7811,2791,8.3,2,1.71,0,
147,NH농협은행,내당동지점,대구광역시 중구 남산4동 대구광역시 중구 명덕로 41 농협은행,중구,남산4동,35.85960846,128.576137,4.58,4.65,16180,3398,4.25,2,2.67,7,
148,NH농협은행,달성군지부,대구광역시 달서구 송현1동 대구광역시 달서구 월배로 458,달서구,송현1동,35.8339361,128.5553336,3.24,8.8,16363,4756,6.47,2,2.69,5,
149,NH농협은행,달성군청<출>,대구광역시 달성군 논공읍 대구광역시 달성군 논공읍 달성군청로 33,달성군,논공읍,35.77466317,128.4313897,1.92,1.0,4224,1380,7.46,5,1.0,0,0.0
150,NH농협은행,대곡지점,대구광역시 달서구 도원동 대구광역시 달서구 도원로 14,달서구,도원동,35.80853577,128.5355779,4.87,5.09,31661,7901,5.33,2,4.45,6,
151,NH농협은행,대구시교육청<출>,대구광역시 수성구 수성2.3가동 대구광역시 수성구 수성로76길 11,수성구,수성2.3가동,35.85834275,128.6146184,7.31,7.82,10377,2099,4.03,5,1.28,1,
152,NH농협은행,대구시산격청사<출>,대구광역시 북구 산격4동 대구광역시 북구 연암로 40 102동(농협동) 1층,북구,산격4동,35.89202721,128.5984093,4.0,3.36,7202,2283,7.19,2,1.64,0,
